"CUSTOMER_ID";"CUSTOMER_LASTNAME";"CUSTOMER_FIRSTNAME";"CUSTOMER_SEX";"CUSTOMER_BIRTHDAY";"CUSTOMER_COUNTRY";"CUSTOMER_REGION";"CUSTOMER_REGIONNAME";"CUSTOMER_POSTCODE";"CUSTOMER_CITY";"CUSTOMER_STREET";"CUSTOMER_HOUSENUMBER";"CUSTOMER_LATITUDE";"CUSTOMER_LONGITUDE";"CUSTOMER_EMAIL";"CUSTOMER_PHONE"
C_000000553;Denner;Runa;f;"1964-07-10";Germany;SN;Sachsen;"8297";Zwönitz;Obere Dorfstraße;"35";"50.6650001";"12.8797553";runa.denner@email.com;+49113034916
C_000001468;Lischka;Taylan;m;"1968-07-29";Germany;HE;Hessen;"60439";Frankfurt am Main;Gerhart-Hauptmann-Ring;"93";"50.1627571";"8.6158502";taylan.lischka@email.com;+49177447167
C_000000380;Kremser;Hamza;m;"1968-10-16";Switzerland;BE;Bern;"3550";Langnau im Emmental;Hinterdorfstrasse;"10";"46.9380959";"7.7932969";hamza.kremser@email.com;+41419383329
C_000000554;Brink;Melis;f;"1966-01-18";Germany;SN;Sachsen;"2627";Weißenberg Sachs;Mühlbergstraße;"19";"51.1974435";"14.6546744";melis.brink@email.com;+49235692135
C_000000385;Köpp;Alexander;m;"1956-02-01";Switzerland;BL;Basel-Landschaft;"4133";Pratteln;Wartenbergstrasse;"63";"47.5185925";"7.6805898";alexander.köpp@email.com;+41836703677
C_000005706;Köhler;Yusuf;m;"1973-03-16";Austria;W;Wien;"1190";Wien;Zehenthofgasse;"9";"48.2454831";"16.3455179";yusuf.köhler@email.com;+43858788119
C_000030796;Seidel;Dorothea;f;"1959-01-03";Germany;NI;Niedersachsen;"49835";Wietmarschen;Von-Twickel-Straße;"22";"52.5188125";"7.1308293";dorothea.seidel@email.com;+49715753043
C_000001478;Wischmann;Tracy;f;"1959-01-01";Germany;HE;Hessen;"60389";Frankfurt am Main;Zeuläckerstraße;"52";"50.1389949";"8.7213172";tracy.wischmann@email.com;+49500382897
C_000000564;Grüne;Nuka;m;"1942-11-29";Germany;BE;Berlin;"10437";Berlin;Lychener Straße;"72";"52.5460711";"13.420492";nuka.grüne@email.com;+49902702372
C_000000558;Weerts;Karla;f;"1955-06-06";Germany;SN;Sachsen;"4509";Delitzsch;Vierzehner Reihe;"27";"51.5431098";"12.3116743";karla.weerts@email.com;+49536296818
C_000001394;Labahn;Diego-Leandro;m;"1997-03-27";Switzerland;BE;Bern;"2502";Biel/Bienne;Museumstrasse;"11";"47.1370523";"7.2394872";diego-leandro.labahn@email.com;+41559171040
C_000023349;Bingel;Schazad;m;"1957-09-09";Germany;TH;Thüringen;"99752";Wernburg;Schleizer Straße;"38";"50.6766963";"11.6028103";schazad.bingel@email.com;+4985869540
C_000000386;Rosin;Adazee;m;"2002-04-19";Switzerland;AG;Aargau;"5242";Birr;Vorderdorfstrasse;"5a";"47.4347569";"8.2029231";adazee.rosin@email.com;+41411311120
C_000009526;Stahlhut;Ron;m;"1990-10-13";Austria;W;Wien;"1220";Wien;Kliviengasse;"41";"48.2151498";"16.4652632";ron.stahlhut@email.com;+43666016742
C_000000579;Anke;Abdoulrahim;m;"2000-02-17";Germany;BE;Berlin;"12161";Berlin;Lefèvrestraße;"7";"52.4666933";"13.3248285";abdoulrahim.anke@email.com;+49459934096
C_000001493;Schumacher;Halit;m;"1994-05-15";Germany;HE;Hessen;"60385";Frankfurt am Main;Ilbenstädter Straße;"29";"50.1343189";"8.7127114";halit.schumacher@email.com;+49231402714
C_000031196;Hasse;Faruk;m;"1950-10-19";Germany;NI;Niedersachsen;"49835";Wietmarschen;Wachtelweg;"2";"52.499613";"7.2233256";faruk.hasse@email.com;+49858549371
C_000000049;Besch;Jonas;m;"1956-09-16";Germany;SN;Sachsen;"1558";Großenhain Sachs;Eichenallee;"2";"51.275861";"13.5220519";jonas.besch@email.com;+49533007799
C_000001395;Dröge;Sophie;f;"1965-10-16";Switzerland;FR;Freiburg;"1720";Corminboeuf;Route de Montaubert;"92";"46.8134929";"7.1100203";sophie.dröge@email.com;+41635042967
C_000005732;Mende;Johannes;m;"1986-07-07";Austria;W;Wien;"1220";Wien;Marangasse;"47";"48.2420439";"16.4486426";johannes.mende@email.com;+43969811616
C_000004811;Roters;Cäcilia;f;"1944-08-10";Austria;W;Wien;"1210";Wien;Wolsteingasse;"36";"48.2774458";"16.3779721";cäcilia.roters@email.com;+43802056005
